name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.04476,0.00022,0.00143,0.00793,0.00304,0.00071,0.03031,45,2022/04/20
BBC,0.02881,0.00015,0.00085,0.00148,0.00948,0.00210,0.01217,50,2022/04/20
Fox News,0.01633,0.00012,0.00053,0.00778,0.00401,0.00030,0.00148,171,2022/04/20
NBC News,0.03933,0.00020,0.00603,0.01940,0.00552,0.00211,0.00077,69,2022/04/20
New York Post,0.02181,0.00016,0.00133,0.00086,0.00240,0.00122,0.01599,35,2022/04/20
Newsmax,0.00834,0.00009,0.00061,0.00044,0.00482,0.00065,0.00008,37,2022/04/20
Newsweek,0.03501,0.00011,0.00083,0.00799,0.00563,0.01084,0.00018,92,2022/04/20
One America News Network (OAN),0.00504,0.00014,0.00121,0.00027,0.00114,0.00144,0.00035,22,2022/04/20
Reuters,0.01653,0.00009,0.00062,0.00776,0.00266,0.00081,0.00020,51,2022/04/20
The Epoch Times,0.00679,0.00012,0.00082,0.00349,0.00133,0.00019,0.00028,103,2022/04/20
The Guardian (US),0.03214,0.00011,0.00063,0.02546,0.00515,0.00077,0.00038,93,2022/04/20
The Hill,0.00889,0.00004,0.00033,0.00098,0.00451,0.00059,0.00009,46,2022/04/20
The New York Times,0.01534,0.00010,0.00108,0.00114,0.00158,0.00183,0.00648,59,2022/04/20
The Wall Street Journal,0.00291,0.00009,0.00072,0.00060,0.00112,0.00014,0.00007,65,2022/04/20
The Washington Post,0.01625,0.00010,0.00062,0.00471,0.00602,0.00053,0.00178,105,2022/04/20
The Washington Times,0.01533,0.00006,0.00040,0.00201,0.00101,0.00148,0.00155,30,2022/04/20
Washington Examiner,0.00857,0.00005,0.00024,0.00115,0.00083,0.00171,0.00007,66,2022/04/20
