name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.04258,0.00028,0.00097,0.02510,0.00434,0.00283,0.00088,40,2022/12/07
BBC,0.01058,0.00011,0.00074,0.00214,0.00202,0.00357,0.00020,44,2022/12/07
Fox News,0.01431,0.00014,0.00221,0.00127,0.00266,0.00104,0.00842,158,2022/12/07
NBC News,0.03251,0.00014,0.00075,0.01189,0.00311,0.00036,0.00983,67,2022/12/07
New York Post,0.03750,0.00020,0.00119,0.00103,0.00371,0.00076,0.02552,36,2022/12/07
Newsmax,0.00205,0.00007,0.00061,0.00034,0.00080,0.00015,0.00007,50,2022/12/07
Newsweek,0.03343,0.00011,0.00061,0.00644,0.01578,0.00096,0.00045,101,2022/12/07
One America News Network (OAN),0.00611,0.00009,0.00062,0.00026,0.00268,0.00020,0.00007,36,2022/12/07
Reuters,0.02064,0.00017,0.00105,0.00368,0.00187,0.01064,0.00022,46,2022/12/07
The Epoch Times,0.01311,0.00022,0.00148,0.00632,0.00244,0.00132,0.00041,106,2022/12/07
The Guardian (US),0.03805,0.00025,0.00127,0.01556,0.01401,0.00171,0.00444,100,2022/12/07
The Hill,0.02579,0.00003,0.00026,0.00014,0.01782,0.00033,0.00009,34,2022/12/07
The New York Times,0.04148,0.00018,0.01135,0.00107,0.01786,0.00088,0.00017,70,2022/12/07
The Wall Street Journal,0.00091,0.00005,0.00042,0.00020,0.00060,0.00007,0.00004,67,2022/12/07
The Washington Post,0.02041,0.00005,0.00033,0.00054,0.01080,0.00347,0.00014,99,2022/12/07
The Washington Times,0.01012,0.00005,0.00025,0.00034,0.00092,0.00052,0.00761,37,2022/12/07
Washington Examiner,0.03330,0.00006,0.00037,0.00543,0.01345,0.00544,0.00053,64,2022/12/07
