name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01252,0.00007,0.00039,0.00697,0.00129,0.00062,0.00014,50,2022/09/01
BBC,0.02007,0.00011,0.00088,0.00220,0.01202,0.00140,0.00015,44,2022/09/01
Fox News,0.01668,0.00011,0.00057,0.00217,0.00696,0.00106,0.00062,173,2022/09/01
NBC News,0.01593,0.00007,0.00036,0.00698,0.00226,0.00078,0.00270,66,2022/09/01
New York Post,0.05706,0.00015,0.00666,0.00167,0.02468,0.00146,0.00099,36,2022/09/01
Newsmax,0.01783,0.00010,0.00051,0.00840,0.00179,0.00251,0.00016,50,2022/09/01
Newsweek,0.03339,0.00019,0.00377,0.00682,0.00780,0.00096,0.00957,101,2022/09/01
One America News Network (OAN),0.00701,0.00018,0.00146,0.00090,0.00265,0.00061,0.00017,29,2022/09/01
Reuters,0.00383,0.00016,0.00122,0.00156,0.00127,0.00030,0.00008,39,2022/09/01
The Epoch Times,0.01272,0.00013,0.00092,0.00195,0.00273,0.00330,0.00010,98,2022/09/01
The Guardian (US),0.04239,0.00018,0.00864,0.01408,0.01500,0.00167,0.00039,95,2022/09/01
The Hill,0.01105,0.00004,0.00028,0.00055,0.00396,0.00048,0.00012,47,2022/09/01
The New York Times,0.01807,0.00020,0.00122,0.01327,0.00410,0.00178,0.00249,64,2022/09/01
The Wall Street Journal,0.00100,0.00005,0.00031,0.00018,0.00058,0.00006,0.00004,69,2022/09/01
The Washington Post,0.03678,0.00006,0.00045,0.00211,0.02215,0.00358,0.00025,93,2022/09/01
The Washington Times,0.02455,0.00005,0.00024,0.00502,0.00980,0.00026,0.00018,35,2022/09/01
Washington Examiner,0.04210,0.00012,0.00056,0.01446,0.00644,0.00609,0.00662,62,2022/09/01
