name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01436,0.00007,0.00042,0.01113,0.00246,0.00026,0.00010,49,2022/09/11
BBC,0.00632,0.00005,0.00042,0.00038,0.00449,0.00011,0.00010,47,2022/09/11
Fox News,0.01341,0.00007,0.00056,0.00130,0.00405,0.00035,0.00212,158,2022/09/11
NBC News,0.02691,0.00020,0.00060,0.02039,0.00423,0.00091,0.00047,68,2022/09/11
New York Post,0.02210,0.00016,0.00130,0.00105,0.00264,0.01365,0.00252,39,2022/09/11
Newsmax,0.00257,0.00006,0.00050,0.00042,0.00069,0.00019,0.00013,50,2022/09/11
Newsweek,0.01736,0.00015,0.00153,0.00558,0.00322,0.00067,0.00094,85,2022/09/11
One America News Network (OAN),0.00125,0.00006,0.00061,0.00022,0.00073,0.00008,0.00006,29,2022/09/11
Reuters,0.00682,0.00005,0.00033,0.00041,0.00051,0.00129,0.00016,25,2022/09/11
The Epoch Times,0.00952,0.00030,0.00223,0.00288,0.00430,0.00061,0.00121,97,2022/09/11
The Guardian (US),0.02602,0.00007,0.00147,0.00142,0.01333,0.00126,0.00088,101,2022/09/11
The Hill,0.01008,0.00007,0.00066,0.00200,0.00132,0.00155,0.00123,44,2022/09/11
The New York Times,0.01162,0.00007,0.00082,0.00035,0.00875,0.00013,0.00007,69,2022/09/11
The Wall Street Journal,0.01239,0.00007,0.00051,0.01027,0.00280,0.00021,0.00008,65,2022/09/11
The Washington Post,0.01045,0.00005,0.00035,0.00063,0.00580,0.00024,0.00021,101,2022/09/11
The Washington Times,0.04078,0.00008,0.00082,0.01946,0.00513,0.00098,0.00086,40,2022/09/11
Washington Examiner,0.02720,0.00004,0.00047,0.00026,0.01837,0.00067,0.00044,65,2022/09/11
