name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01898,0.00008,0.00071,0.00323,0.00690,0.00029,0.00475,50,2023/01/13
BBC,0.01444,0.00012,0.00097,0.00194,0.00207,0.00174,0.00021,45,2023/01/13
Fox News,0.02787,0.00011,0.00436,0.00062,0.01126,0.00149,0.00526,161,2023/01/13
NBC News,0.02254,0.00017,0.00084,0.00974,0.00401,0.00209,0.00675,71,2023/01/13
New York Post,0.03507,0.00007,0.00091,0.00088,0.01506,0.00218,0.00042,44,2023/01/13
Newsmax,0.00527,0.00008,0.00043,0.00041,0.00245,0.00030,0.00006,51,2023/01/13
Newsweek,0.03750,0.00008,0.00044,0.00152,0.01584,0.00775,0.00018,107,2023/01/13
One America News Network (OAN),0.01074,0.00010,0.00112,0.00033,0.00186,0.00135,0.00095,28,2023/01/13
Reuters,0.00147,0.00005,0.00036,0.00021,0.00051,0.00012,0.00004,46,2023/01/13
The Epoch Times,0.00564,0.00010,0.00073,0.00091,0.00207,0.00013,0.00055,106,2023/01/13
The Guardian (US),0.04364,0.00017,0.00507,0.00202,0.01908,0.00240,0.00772,93,2023/01/13
The Hill,0.04273,0.00005,0.00034,0.01400,0.02489,0.00078,0.00013,40,2023/01/13
The New York Times,0.02695,0.00007,0.00052,0.00229,0.00964,0.00480,0.00022,74,2023/01/13
The Wall Street Journal,0.00140,0.00006,0.00045,0.00028,0.00054,0.00024,0.00005,67,2023/01/13
The Washington Post,0.01339,0.00007,0.00059,0.00059,0.00404,0.00068,0.00292,101,2023/01/13
The Washington Times,0.02110,0.00005,0.00038,0.01042,0.00233,0.00069,0.00011,30,2023/01/13
Washington Examiner,0.02435,0.00010,0.00044,0.00481,0.00163,0.01061,0.00053,62,2023/01/13
