name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01362,0.00007,0.00049,0.00617,0.00217,0.00044,0.00009,50,2022/10/07
BBC,0.01904,0.00013,0.00085,0.00126,0.00170,0.00805,0.00259,45,2022/10/07
Fox News,0.03112,0.00011,0.00081,0.00429,0.01034,0.00312,0.00601,165,2022/10/07
NBC News,0.06015,0.00026,0.00185,0.02667,0.01882,0.00299,0.00291,71,2022/10/07
New York Post,0.05406,0.00013,0.01953,0.01409,0.00900,0.00322,0.00223,39,2022/10/07
Newsmax,0.02099,0.00009,0.00070,0.00123,0.00258,0.00867,0.00048,50,2022/10/07
Newsweek,0.01597,0.00010,0.00063,0.00946,0.00234,0.00148,0.00013,108,2022/10/07
One America News Network (OAN),0.02059,0.00012,0.00084,0.00309,0.00481,0.00186,0.00026,36,2022/10/07
Reuters,0.00954,0.00005,0.00025,0.00349,0.00054,0.00064,0.00006,41,2022/10/07
The Epoch Times,0.00316,0.00016,0.00133,0.00056,0.00132,0.00029,0.00016,99,2022/10/07
The Guardian (US),0.04617,0.00011,0.00089,0.00365,0.01215,0.00300,0.01098,95,2022/10/07
The Hill,0.00536,0.00004,0.00028,0.00024,0.00096,0.00168,0.00011,45,2022/10/07
The New York Times,0.02957,0.00010,0.00066,0.00228,0.00945,0.00882,0.00016,67,2022/10/07
The Wall Street Journal,0.00128,0.00004,0.00027,0.00033,0.00041,0.00010,0.00005,69,2022/10/07
The Washington Post,0.04018,0.00017,0.00148,0.00573,0.00429,0.00442,0.01606,108,2022/10/07
The Washington Times,0.02594,0.00012,0.00066,0.00318,0.00416,0.00564,0.00577,33,2022/10/07
Washington Examiner,0.03358,0.00010,0.00843,0.00627,0.01311,0.00099,0.00034,64,2022/10/07
